draft_year,pick,player_name,ws,vorp
2015,1,Karl-Anthony Towns,94.6,38.5
2015,2,D'Angelo Russell,26.5,12.4
2015,3,Jahlil Okafor,7.2,0.0
2015,4,Kristaps PorziÅÄ£is,50.4,18.9
2015,5,Mario Hezonja,3.2,-1.2
2015,6,Willie Cauley-Stein,23.3,4.4
2015,7,Emmanuel Mudiay,-0.2,-2.2
2015,8,Stanley Johnson,6.9,-1.6
2015,9,Frank Kaminsky,15.9,3.7
2015,10,Justise Winslow,8.2,-0.3
2015,11,Myles Turner,51.7,13.5
2015,12,Trey Lyles,22.0,3.0
2015,13,Devin Booker,58.0,20.2
2015,14,Cameron Payne,14.8,3.2
2015,15,Kelly Oubre Jr.,27.6,0.8
2015,16,Terry Rozier,30.6,10.1
2015,17,Rashad Vaughn,-0.6,-1.2
2015,18,Sam Dekker,5.4,0.5
2015,19,Jerian Grant,8.3,0.5
2015,20,Delon Wright,28.9,11.1
2015,21,Justin Anderson,4.9,0.4
2015,22,Bobby Portis,36.6,6.8
2015,23,Rondae Hollis-Jefferson,12.9,2.3
2015,24,Tyus Jones,34.9,9.2
2015,25,Jarell Martin,3.2,-1.7
2015,26,Nikola Milutinov,nan,nan
2015,27,Larry Nance Jr.,35.2,10.1
2015,28,R.J. Hunter,0.4,0.0
2015,29,Chris McCullough,0.6,-0.1
2015,30,Kevon Looney,38.1,6.2
2015,nan,Round 2,Advanced,Advanced
2015,31,Cedi Osman,12.5,-0.3
2015,32,Montrezl Harrell,42.9,12.2
2015,33,Jordan Mickey,0.5,-0.3
2015,34,Anthony Brown,-0.2,-0.6
2015,35,Willy HernangÃ³mez,16.3,2.8
2015,36,Rakeem Christmas,0.5,-0.2
2015,37,Richaun Holmes,30.7,5.0
2015,38,Darrun Hilliard,0.3,-0.6
2015,39,Juan Pablo Vaulet,nan,nan
2015,40,Josh Richardson,27.7,5.5
2015,41,Pat Connaughton,25.3,4.5
2015,42,Olivier Hanlan,nan,nan
2015,43,Joe Young,0.4,-0.6
2015,44,Andrew Harrison,3.2,-0.6
2015,45,Marcus Thornton,nan,nan
2015,46,Norman Powell,36.4,9.2
2015,47,ArtÅ«ras Gudaitis,nan,nan
2015,48,Dakari Johnson,0.6,0.1
2015,49,Aaron White,nan,nan
2015,50,Marcus Eriksson,nan,nan
2015,51,Tyler Harvey,nan,nan
2015,52,Satnam Singh,nan,nan
2015,53,Sir'Dominic Pointer,nan,nan
2015,54,Dani DÃ­ez,nan,nan
2015,55,Cady Lalanne,nan,nan
2015,56,Branden Dawson,0.0,0.0
2015,57,Nikola RadiÄeviÄ,nan,nan
2015,58,J.P. Tokoto,nan,nan
2015,59,Dimitrios Agravanis,nan,nan
2015,60,Luka MitroviÄ,nan,nan
2016,1,Ben Simmons,35.4,15.0
2016,2,Brandon Ingram,31.8,10.3
2016,3,Jaylen Brown,47.5,14.1
2016,4,Dragan Bender,0.5,-1.9
2016,5,Kris Dunn,15.7,2.8
2016,6,Buddy Hield,28.7,11.7
2016,7,Jamal Murray,47.6,16.5
2016,8,Marquese Chriss,6.5,-0.5
2016,9,Jakob Poeltl,48.5,11.9
2016,10,Thon Maker,6.6,-0.1
2016,11,Domantas Sabonis,71.0,27.6
2016,12,Taurean Prince,15.5,-0.3
2016,13,Georgios Papagiannis,0.4,-0.2
2016,14,Denzel Valentine,4.5,0.2
2016,15,Juancho HernangÃ³mez,8.7,0.1
2016,16,Guerschon Yabusele,6.4,0.4
2016,17,Wade Baldwin,-0.3,-0.5
2016,18,Henry Ellenson,0.4,-0.3
2016,19,Malik Beasley,20.1,3.7
2016,20,Caris LeVert,25.4,7.0
2016,21,DeAndre' Bembry,4.4,-0.4
2016,22,Malachi Richardson,-0.1,-0.7
2016,23,Ante Å½iÅ¾iÄ,3.5,-0.2
2016,24,TimothÃ© Luwawu-Cabarrot,4.7,-2.7
2016,25,Brice Johnson,0.1,0.0
2016,26,Furkan Korkmaz,7.6,0.1
2016,27,Pascal Siakam,58.1,21.0
2016,28,Skal LabissiÃ¨re,4.5,-0.2
2016,29,Dejounte Murray,26.8,12.9
2016,30,Damian Jones,11.3,1.0
2016,nan,Round 2,Advanced,Advanced
2016,31,Deyonta Davis,3.6,0.0
2016,32,Ivica Zubac,55.5,10.4
2016,33,Cheick Diallo,6.3,0.3
2016,34,Tyler Ulis,0.5,-1.1
2016,35,Rade Zagorac,nan,nan
2016,36,Malcolm Brogdon,33.4,11.2
2016,37,Chinanu Onuaku,0.1,-0.1
2016,38,Patrick McCaw,4.4,-0.6
2016,39,David Michineau,nan,nan
2016,40,Diamond Stone,-0.1,-0.1
2016,41,Stephen Zimmerman,0.0,-0.2
2016,42,Isaiah Whitehead,-0.9,-1.4
2016,43,Zhou Qi,-0.2,-0.2
2016,44,IsaÃ¯a Cordinier,nan,nan
2016,45,Demetrius Jackson,0.2,0.1
2016,46,A.J. Hammons,0.0,-0.2
2016,47,Jake Layman,3.8,-0.2
2016,48,Paul Zipser,0.0,-1.4
2016,49,Michael Gbinije,-0.1,-0.1
2016,50,Georges Niang,15.9,0.7
2016,51,Ben Bentil,-0.1,-0.1
2016,52,Joel Bolomboy,0.3,0.0
2016,53,Petr Cornelie,0.0,-0.1
2016,54,Kay Felder,-0.4,-0.4
2016,55,Marcus Paige,0.0,0.0
2016,56,Daniel Hamilton,0.0,-0.1
2016,57,Wang Zhelin,nan,nan
2016,58,Abdel Nader,2.8,-0.4
2016,59,Isaiah Cousins,nan,nan
2016,60,Tyrone Wallace,0.1,-1.4
