player_key,player_name,draft_year,pick,ws,vorp
karl anthony towns,Karl-Anthony Towns,2015,1,94.6,38.5
d angelo russell,D'Angelo Russell,2015,2,26.5,12.4
jahlil okafor,Jahlil Okafor,2015,3,7.2,0.0
kristaps porzingis,Kristaps Porziņģis,2015,4,50.4,18.9
mario hezonja,Mario Hezonja,2015,5,3.2,-1.2
willie cauley stein,Willie Cauley-Stein,2015,6,23.3,4.4
emmanuel mudiay,Emmanuel Mudiay,2015,7,-0.2,-2.2
stanley johnson,Stanley Johnson,2015,8,6.9,-1.6
frank kaminsky,Frank Kaminsky,2015,9,15.9,3.7
justise winslow,Justise Winslow,2015,10,8.2,-0.3
myles turner,Myles Turner,2015,11,51.7,13.5
trey lyles,Trey Lyles,2015,12,22.0,3.0
devin booker,Devin Booker,2015,13,58.0,20.2
cameron payne,Cameron Payne,2015,14,14.8,3.2
kelly oubre,Kelly Oubre Jr.,2015,15,27.6,0.8
terry rozier,Terry Rozier,2015,16,30.6,10.1
rashad vaughn,Rashad Vaughn,2015,17,-0.6,-1.2
sam dekker,Sam Dekker,2015,18,5.4,0.5
jerian grant,Jerian Grant,2015,19,8.3,0.5
delon wright,Delon Wright,2015,20,28.9,11.1
justin anderson,Justin Anderson,2015,21,4.9,0.4
bobby portis,Bobby Portis,2015,22,36.6,6.8
rondae hollis jefferson,Rondae Hollis-Jefferson,2015,23,12.9,2.3
tyus jones,Tyus Jones,2015,24,34.9,9.2
jarell martin,Jarell Martin,2015,25,3.2,-1.7
nikola milutinov,Nikola Milutinov,2015,26,0.0,0.0
larry nance,Larry Nance Jr.,2015,27,35.2,10.1
r j hunter,R.J. Hunter,2015,28,0.4,0.0
chris mccullough,Chris McCullough,2015,29,0.6,-0.1
kevon looney,Kevon Looney,2015,30,38.1,6.2
cedi osman,Cedi Osman,2015,31,12.5,-0.3
montrezl harrell,Montrezl Harrell,2015,32,42.9,12.2
jordan mickey,Jordan Mickey,2015,33,0.5,-0.3
anthony brown,Anthony Brown,2015,34,-0.2,-0.6
willy hernangomez,Willy Hernangómez,2015,35,16.3,2.8
rakeem christmas,Rakeem Christmas,2015,36,0.5,-0.2
richaun holmes,Richaun Holmes,2015,37,30.7,5.0
darrun hilliard,Darrun Hilliard,2015,38,0.3,-0.6
juan pablo vaulet,Juan Pablo Vaulet,2015,39,0.0,0.0
josh richardson,Josh Richardson,2015,40,27.7,5.5
pat connaughton,Pat Connaughton,2015,41,25.3,4.5
olivier hanlan,Olivier Hanlan,2015,42,0.0,0.0
joe young,Joe Young,2015,43,0.4,-0.6
andrew harrison,Andrew Harrison,2015,44,3.2,-0.6
marcus thornton,Marcus Thornton,2015,45,0.0,0.0
norman powell,Norman Powell,2015,46,36.4,9.2
arturas gudaitis,Artūras Gudaitis,2015,47,0.0,0.0
dakari johnson,Dakari Johnson,2015,48,0.6,0.1
aaron white,Aaron White,2015,49,0.0,0.0
marcus eriksson,Marcus Eriksson,2015,50,0.0,0.0
tyler harvey,Tyler Harvey,2015,51,0.0,0.0
satnam singh,Satnam Singh,2015,52,0.0,0.0
sir dominic pointer,Sir'Dominic Pointer,2015,53,0.0,0.0
dani diez,Dani Díez,2015,54,0.0,0.0
cady lalanne,Cady Lalanne,2015,55,0.0,0.0
branden dawson,Branden Dawson,2015,56,0.0,0.0
nikola radicevic,Nikola Radičević,2015,57,0.0,0.0
j p tokoto,J.P. Tokoto,2015,58,0.0,0.0
dimitrios agravanis,Dimitrios Agravanis,2015,59,0.0,0.0
luka mitrovic,Luka Mitrović,2015,60,0.0,0.0
ben simmons,Ben Simmons,2016,1,35.4,15.0
brandon ingram,Brandon Ingram,2016,2,31.8,10.3
jaylen brown,Jaylen Brown,2016,3,47.5,14.1
dragan bender,Dragan Bender,2016,4,0.5,-1.9
kris dunn,Kris Dunn,2016,5,15.7,2.8
buddy hield,Buddy Hield,2016,6,28.7,11.7
jamal murray,Jamal Murray,2016,7,47.6,16.5
marquese chriss,Marquese Chriss,2016,8,6.5,-0.5
jakob poeltl,Jakob Poeltl,2016,9,48.5,11.9
thon maker,Thon Maker,2016,10,6.6,-0.1
domantas sabonis,Domantas Sabonis,2016,11,71.0,27.6
taurean prince,Taurean Prince,2016,12,15.5,-0.3
georgios papagiannis,Georgios Papagiannis,2016,13,0.4,-0.2
denzel valentine,Denzel Valentine,2016,14,4.5,0.2
juancho hernangomez,Juancho Hernangómez,2016,15,8.7,0.1
guerschon yabusele,Guerschon Yabusele,2016,16,6.4,0.4
wade baldwin,Wade Baldwin,2016,17,-0.3,-0.5
