player_key,player_name,country
player,Player,Nationality
bruno fernando,Bruno Fernando,Angola
leandro bolmaro,Leandro Bolmaro,Argentina
nicolas brussino,Nicolás Brussino,Argentina
facundo campazzo,Facundo Campazzo,Argentina
gabriel deck,Gabriel Deck,Argentina
carlos delfino,Carlos Delfino,Argentina
patricio garino,Patricio Garino,Argentina
manu ginobili,Manu Ginóbili,Argentina
walter herrmann,Walter Herrmann,Argentina
nicolas laprovittola,Nicolás Laprovíttola,Argentina
andres nocioni,Andrés Nocioni,Argentina
fabricio oberto,Fabricio Oberto,Argentina
pablo prigioni,Pablo Prigioni,Argentina
pepe sanchez,Pepe Sánchez,Argentina
luis scola,Luis Scola,Argentina
luca vildoza,Luca Vildoza,Argentina
ruben wolkowyski,Rubén Wolkowyski,Argentina
david andersen,David Andersen,Australia
chris anstey,Chris Anstey,Australia
cameron bairstow,Cameron Bairstow,Australia
aron baynes,Aron Baynes,Australia
andrew bogut,Andrew Bogut,Australia
jonah bolden,Jonah Bolden,Australia
mark bradtke,Mark Bradtke,Australia
ryan broekhoff,Ryan Broekhoff,Australia
xavier cooks,Xavier Cooks,Australia
mitch creek,Mitch Creek,Australia
dyson daniels,Dyson Daniels,Australia
matthew dellavedova,Matthew Dellavedova,Australia
alex ducas,Alex Ducas,Australia
dante exum,Dante Exum,Australia
johnny furphy,Johnny Furphy,Australia
andrew gaze,Andrew Gaze,Australia
josh giddey,Josh Giddey,Australia
josh green,Josh Green,Australia
shane heal,Shane Heal,Australia
isaac humphries,Isaac Humphries,Australia
joe ingles,Joe Ingles,Australia
nathan jawai,Nathan Jawai,Australia
jock landale,Jock Landale,Australia
luc longley,Luc Longley,Australia
will magnay,Will Magnay,Australia
jack mcveigh,Jack McVeigh,Australia
patty mills,Patty Mills,Australia
lachlan olbrich,Lachlan Olbrich,Australia
tyrese proctor,Tyrese Proctor,Australia
duop reath,Duop Reath,Australia
luke schenscher,Luke Schenscher,Australia
ben simmons,Ben Simmons,Australia
luke travers,Luke Travers,Australia
jack white,Jack White,Australia
rocco zikarsky,Rocco Zikarsky,Australia
jakob poeltl,Jakob Poeltl,Austria
deandre ayton,Deandre Ayton,Bahamas
dexter cambridge,Dexter Cambridge,Bahamas
v j edgecombe,V. J. Edgecombe,Bahamas
buddy hield,Buddy Hield,Bahamas
kai jones,Kai Jones,Bahamas
ian lockhart,Ian Lockhart,Bahamas
mychal thompson,Mychal Thompson,Bahamas
toumani camara,Toumani Camara,Belgium
d j mbenga,D.J. Mbenga,Belgium
ajay mitchell,Ajay Mitchell,Belgium
dzanan musa,Džanan Musa,Bosnia and Herzegovina
jusuf nurkic,Jusuf Nurkić,Bosnia and Herzegovina
aleksandar radojevic,Aleksandar Radojević,Bosnia and Herzegovina
mirza teletovic,Mirza Teletović,Bosnia and Herzegovina
ratko varda,Ratko Varda,Bosnia and Herzegovina
rafael araujo,Rafael Araújo,Brazil
leandro barbosa,Leandro Barbosa,Brazil
bruno caboclo,Bruno Caboclo,Brazil
vitor faverani,Vítor Faverani,Brazil
cristiano felicio,Cristiano Felício,Brazil
rolando ferreira,Rolando Ferreira,Brazil
alex garcia,Alex Garcia,Brazil
marcelo huertas,Marcelo Huertas,Brazil
didi louzada,Didi Louzada,Brazil
fab melo,Fab Melo,Brazil
nene,Nenê,Brazil
raul neto,Raul Neto,Brazil
lucas nogueira,Lucas Nogueira,Brazil
maozinha pereira,Mãozinha Pereira,Brazil
gui santos,Gui Santos,Brazil
tiago splitter,Tiago Splitter,Brazil
anderson varejao,Anderson Varejão,Brazil
joao vianna,João Vianna,Brazil
marquinhos vieira,Marquinhos Vieira,Brazil
d moi hodge,D'Moi Hodge,British Virgin Islands
georgi glouchkov,Georgi Glouchkov,Bulgaria
sasha vezenkov,Sasha Vezenkov,Bulgaria
ruben boumtje boumtje,Ruben Boumtje-Boumtje,Cameroon
ulrich chomche,Ulrich Chomche,Cameroon
christian koloko,Christian Koloko,Cameroon
luc mbah a moute,Luc Mbah a Moute,Cameroon
yves missi,Yves Missi,Cameroon
pascal siakam,Pascal Siakam,Cameroon
kyle alexander,Kyle Alexander,Canada
nickeil alexander walker,Nickeil Alexander-Walker,Canada
joel anthony,Joel Anthony,Canada
norm baker,Norm Baker,Canada
dalano banton,Dalano Banton,Canada
rj barrett,RJ Barrett,Canada
anthony bennett,Anthony Bennett,Canada
sim bhullar,Sim Bhullar,Canada
hank biasatti,Hank Biasatti,Canada
khem birch,Khem Birch,Canada
chris boucher,Chris Boucher,Canada
oshae brissett,Oshae Brissett,Canada
dillon brooks,Dillon Brooks,Canada
brandon clarke,Brandon Clarke,Canada
ron crevier,Ron Crevier,Canada
samuel dalembert,Samuel Dalembert,Canada
nate darling,Nate Darling,Canada
luguentz dort,Luguentz Dort,Canada
zach edey,Zach Edey,Canada
tyler ennis,Tyler Ennis,Canada
rick fox,Rick Fox,Canada
kyshawn george,Kyshawn George,Canada
shai gilgeous alexander,Shai Gilgeous-Alexander,Canada
stewart granger,Stewart Granger,Canada
lars hansen,Lars Hansen,Canada
bob houbregs,Bob Houbregs,Canada
caleb houstan,Caleb Houstan,Canada
cory joseph,Cory Joseph,Canada
kris joseph,Kris Joseph,Canada
mfiondu kabengele,Mfiondu Kabengele,Canada
aj lawson,AJ Lawson,Canada
trey lyles,Trey Lyles,Canada
todd macculloch,Todd MacCulloch,Canada
jamaal magloire,Jamaal Magloire,Canada
karim mane,Karim Mané,Canada
bennedict mathurin,Bennedict Mathurin,Canada
emanuel miller,Emanuel Miller,Canada
leonard miller,Leonard Miller,Canada
mychal mulder,Mychal Mulder,Canada
jamal murray,Jamal Murray,Canada
steve nash,Steve Nash,Canada
andrew nembhard,Andrew Nembhard,Canada
ryan nembhard,Ryan Nembhard,Canada
andrew nicholson,Andrew Nicholson,Canada
kelly olynyk,Kelly Olynyk,Canada
eugene omoruyi,Eugene Omoruyi,Canada
kevin pangos,Kevin Pangos,Canada
dwight powell,Dwight Powell,Canada
joshua primo,Joshua Primo,Canada
olivier maxence prosper,Olivier-Maxence Prosper,Canada
xavier rathan mayes,Xavier Rathan-Mayes,Canada
leo rautins,Leo Rautins,Canada
will riley,Will Riley,Canada
jackson rowe,Jackson Rowe,Canada
shaedon sharpe,Shaedon Sharpe,Canada
mike smrek,Mike Smrek,Canada
gino sovran,Gino Sovran,Canada
nik stauskas,Nik Stauskas,Canada
jahmyl telfort,Jahmyl Telfort,Canada
tristan thompson,Tristan Thompson,Canada
ernie vandeweghe,Ernie Vandeweghe,Canada
bill wennington,Bill Wennington,Canada
andrew wiggins,Andrew Wiggins,Canada
lindell wigginton,Lindell Wigginton,Canada
jim zoet,Jim Zoet,Canada
edy tavares,Edy Tavares,Cape Verde
cui yongxi,Cui Yongxi,China
mengke bateer,Mengke Bateer,China
sun yue,Sun Yue,China
wang zhizhi,Wang Zhizhi,China
yang hansen,Yang Hansen,China
yao ming,Yao Ming,China
yi jianlian,Yi Jianlian,China
zhou qi,Zhou Qi,China
jaime echenique,Jaime Echenique,Colombia
dalibor bagaric,Dalibor Bagarić,Croatia
dragan bender,Dragan Bender,Croatia
bojan bogdanovic,Bojan Bogdanović,Croatia
duje dukan,Duje Dukan,Croatia
gordan giricek,Gordan Giriček,Croatia
mario hezonja,Mario Hezonja,Croatia
mario kasun,Mario Kasun,Croatia
toni kukoc,Toni Kukoč,Croatia
damir markota,Damir Markota,Croatia
karlo matkovic,Karlo Matković,Croatia
drazen petrovic,Dražen Petrović,Croatia
zoran planinic,Zoran Planinić,Croatia
dino rađa,Dino Rađa,Croatia
damjan rudez,Damjan Rudež,Croatia
luka samanic,Luka Šamanić,Croatia
dario saric,Dario Šarić,Croatia
bruno sundov,Bruno Šundov,Croatia
zan tabak,Žan Tabak,Croatia
roko ukic,Roko Ukić,Croatia
stojko vrankovic,Stojko Vranković,Croatia
ante zizic,Ante Žižić,Croatia
ivica zubac,Ivica Zubac,Croatia
lazaro borrell,Lazaro Borrell,Cuba
andres guibert,Andrés Guibert,Cuba
vit krejci,Vít Krejčí,Czech Republic
tomas satoransky,Tomáš Satoranský,Czech Republic
jan vesely,Jan Veselý,Czech Republic
jiri welsch,Jiří Welsch,Czech Republic
george zidek,George Zídek,Czech Republic
bismack biyombo,Bismack Biyombo,Democratic Republic of the Congo
christian eyenga,Christian Eyenga,Democratic Republic of the Congo
jonathan kuminga,Jonathan Kuminga,Democratic Republic of the Congo
emmanuel mudiay,Emmanuel Mudiay,Democratic Republic of the Congo
dikembe mutombo,Dikembe Mutombo,Democratic Republic of the Congo
oscar tshiebwe,Oscar Tshiebwe,Democratic Republic of the Congo
gabriel lundberg,Gabriel Lundberg,Denmark
garth joseph,Garth Joseph,Dominica
angel delgado,Ángel Delgado,Dominican Republic
chris duarte,Chris Duarte,Dominican Republic
luis flores,Luis Flores,Dominican Republic
andersson garcia,Andersson Garcia,Dominican Republic
francisco garcia,Francisco García,Dominican Republic
al horford,Al Horford,Dominican Republic
tito horford,Tito Horford,Dominican Republic
david jones garcia,David Jones-Garcia,Dominican Republic
felipe lopez,Felipe López,Dominican Republic
luis montero,Luis Montero,Dominican Republic
alaa abdelnaby,Alaa Abdelnaby,Egypt
abdel nader,Abdel Nader,Egypt
henri drell,Henri Drell,Estonia
martin muursepp,Martin Müürsepp,Estonia
lauri markkanen,Lauri Markkanen,Finland
hanno mottola,Hanno Möttölä,Finland
erik murphy,Erik Murphy,Finland
tariq abdul wahad,Tariq Abdul-Wahad,France
alexis ajinca,Alexis Ajinça,France
joel ayayi,Joël Ayayi,France
adama bal,Adama Bal,France
nicolas batum,Nicolas Batum,France
rodrigue beaubois,Rodrigue Beaubois,France
joan beringer,Joan Beringer,France
malcolm cazalon,Malcolm Cazalon,France
sidy cissoko,Sidy Cissoko,France
petr cornelie,Petr Cornelie,France
bilal coulibaly,Bilal Coulibaly,France
pacome dadiet,Pacôme Dadiet,France
nando de colo,Nando De Colo,France
moussa diabate,Moussa Diabaté,France
boris diaw,Boris Diaw,France
mohamed diawara,Mohamed Diawara,France
yakhouba diawara,Yakhouba Diawara,France
ousmane dieng,Ousmane Dieng,France
sekou doumbouya,Sekou Doumbouya,France
noa essengue,Noa Essengue,France
evan fournier,Evan Fournier,France
mickael gelabale,Mickaël Gelabale,France
rudy gobert,Rudy Gobert,France
jaylen hoard,Jaylen Hoard,France
william howard,William Howard,France
damien inglis,Damien Inglis,France
joffrey lauvergne,Joffrey Lauvergne,France
timothe luwawu cabarrot,Timothé Luwawu-Cabarrot,France
ian mahinmi,Ian Mahinmi,France
theo maledon,Théo Maledon,France
jerome moiso,Jérôme Moïso,France
adam mokoka,Adam Mokoka,France
frank ntilikina,Frank Ntilikina,France
elie okobo,Élie Okobo,France
tony parker,Tony Parker,France
noah penda,Noah Penda,France
johan petro,Johan Petro,France
mickael pietrus,Mickaël Piétrus,France
vincent poirier,Vincent Poirier,France
yves pons,Yves Pons,France
maxime raynaud,Maxime Raynaud,France
antoine rigaudeau,Antoine Rigaudeau,France
zaccharie risacher,Zaccharie Risacher,France
rayan rupert,Rayan Rupert,France
tidjane salaun,Tidjane Salaün,France
alex sarr,Alex Sarr,France
olivier sarr,Olivier Sarr,France
kevin seraphin,Kevin Séraphin,France
pape sy,Pape Sy,France
killian tillie,Killian Tillie,France
axel toupane,Axel Toupane,France
armel traore,Armel Traoré,France
nolan traore,Nolan Traoré,France
ronny turiaf,Ronny Turiaf,France
victor wembanyama,Victor Wembanyama,France
guerschon yabusele,Guerschon Yabusele,France
stephane lasme,Stéphane Lasme,Gabon
chris silva,Chris Silva,Gabon
goga bitadze,Goga Bitadze,Georgia
zaza pachulia,Zaza Pachulia,Georgia
tornike shengelia,Tornike Shengelia,Georgia
vladimir stepania,Vladimir Stepania,Georgia
nikoloz tskitishvili,Nikoloz Tskitishvili,Georgia
uwe blab,Uwe Blab,Germany
isaac bonga,Isaac Bonga,Germany
shawn bradley,Shawn Bradley,Germany
tristan da silva,Tristan da Silva,Germany
frido frey,Frido Frey,Germany
elias harris,Elias Harris,Germany
charlie hoefer,Charlie Hoefer,Germany
ariel hukporti,Ariel Hukporti,Germany
maxi kleber,Maxi Kleber,Germany
dirk nowitzki,Dirk Nowitzki,Germany
tim ohlbrecht,Tim Ohlbrecht,Germany
tibor pleiß,Tibor Pleiß,Germany
detlef schrempf,Detlef Schrempf,Germany
dennis schroder,Dennis Schröder,Germany
daniel theis,Daniel Theis,Germany
franz wagner,Franz Wagner,Germany
moritz wagner,Moritz Wagner,Germany
chris welp,Chris Welp,Germany
paul zipser,Paul Zipser,Germany
ben bentil,Ben Bentil,Ghana
amida brimah,Amida Brimah,Ghana
nathan mensah,Nathan Mensah,Ghana
og anunoby,OG Anunoby,Great BritainEngland
robert archibald,Robert Archibald,Great BritainScotland
steve bucknall,Steve Bucknall,Great BritainEngland
luol deng,Luol Deng,Great BritainEngland
james donaldson,James Donaldson,Great BritainEngland
ndudi ebi,Ndudi Ebi,Great BritainEngland
tosan evbuomwan,Tosan Evbuomwan,Great BritainEngland
joel freeland,Joel Freeland,Great BritainEngland
ben gordon,Ben Gordon,Great BritainEngland
chris harris,Chris Harris,Great BritainEngland
pops mensah bonsu,Pops Mensah-Bonsu,Great BritainEngland
amari williams,Amari Williams,Great BritainEngland
alex antetokounmpo,Alex Antetokounmpo,Greece
giannis antetokounmpo,Giannis Antetokounmpo,Greece
kostas antetokounmpo,Kostas Antetokounmpo,Greece
thanasis antetokounmpo,Thanasis Antetokounmpo,Greece
antonis fotsis,Antonis Fotsis,Greece
andreas glyniadakis,Andreas Glyniadakis,Greece
georgios kalaitzakis,Georgios Kalaitzakis,Greece
naz mitrou long,Naz Mitrou-Long,Greece
georgios papagiannis,Georgios Papagiannis,Greece
kostas papanikolaou,Kostas Papanikolaou,Greece
efthimios rentzias,Efthimios Rentzias,Greece
vassilis spanoulis,Vassilis Spanoulis,Greece
jake tsakalidis,Jake Tsakalidis,Greece
moussa cisse,Moussa Cissé,Guinea
mamadi diakite,Mamadi Diakite,Guinea
rawle marshall,Rawle Marshall,Guyana
jason miskiri,Jason Miskiri,Guyana
yvon joseph,Yvon Joseph,Haiti
skal labissiere,Skal Labissière,Haiti
olden polynice,Olden Polynice,Haiti
kornel david,Kornél Dávid,Hungary
petur guðmundsson,Pétur Guðmundsson,Iceland
hamed haddadi,Hamed Haddadi,Iran
pat burke,Pat Burke,Ireland
deni avdija,Deni Avdija,Israel
omri casspi,Omri Casspi,Israel
t j leaf,T. J. Leaf,Israel
gal mekel,Gal Mekel,Israel
ben saraf,Ben Saraf,Israel
andrea bargnani,Andrea Bargnani,Italy
marco belinelli,Marco Belinelli,Italy
gigi datome,Gigi Datome,Italy
vincenzo esposito,Vincenzo Esposito,Italy
simone fontecchio,Simone Fontecchio,Italy
danilo gallinari,Danilo Gallinari,Italy
nico mannion,Nico Mannion,Italy
nicolo melli,Nicolò Melli,Italy
stefano rusconi,Stefano Rusconi,Italy
omari johnson,Omari Johnson,Jamaica
jerome jordan,Jerome Jordan,Jamaica
nick richards,Nick Richards,Jamaica
rumeal robinson,Rumeal Robinson,Jamaica
samardo samuels,Samardo Samuels,Jamaica
wayne sappleton,Wayne Sappleton,Jamaica
rui hachimura,Rui Hachimura,Japan
yuki kawamura,Yuki Kawamura,Japan
yuta tabuse,Yuta Tabuse,Japan
yuta watanabe,Yuta Watanabe,Japan
dairis bertans,Dairis Bertāns,Latvia
davis bertans,Dāvis Bertāns,Latvia
andris biedrins,Andris Biedriņš,Latvia
rodions kurucs,Rodions Kurucs,Latvia
anzejs pasecniks,Anžejs Pasečņiks,Latvia
kristaps porzingis,Kristaps Porziņģis,Latvia
gundars vetra,Gundars Vētra,Latvia
norvel pelle,Norvel Pelle,Lebanon
