player_name,season,games,minutes,per,ts_pct,usg_pct,bpm,vorp
James Harden,2015,81.0,2981.0,26.7,0.605,31.3,8.8,8.1
Andrew Wiggins,2015,82.0,2969.0,13.9,0.517,22.6,-2.4,-0.3
Trevor Ariza,2015,82.0,2930.0,12.7,0.539,16.5,1.0,2.2
Damian Lillard,2015,82.0,2925.0,20.7,0.56,26.9,4.7,4.9
Chris Paul,2015,82.0,2857.0,26.0,0.596,23.7,8.0,7.2
John Wall,2015,79.0,2837.0,19.9,0.523,26.1,3.6,4.0
DeAndre Jordan,2015,82.0,2820.0,21.0,0.638,13.6,2.9,3.5
Eric Bledsoe,2015,81.0,2800.0,18.4,0.555,23.7,2.1,2.9
Joe Johnson,2015,80.0,2791.0,14.1,0.523,20.3,-0.1,1.3
Kyrie Irving,2015,75.0,2730.0,21.5,0.583,26.2,4.1,4.2
Monta Ellis,2015,80.0,2699.0,16.5,0.509,27.9,-0.1,1.3
Tyreke Evans,2015,79.0,2690.0,17.7,0.508,26.1,1.2,2.2
Marc Gasol,2015,81.0,2687.0,21.7,0.558,24.6,5.1,4.8
Pau Gasol,2015,78.0,2681.0,22.7,0.55,24.7,3.5,3.7
Ben McLemore,2015,82.0,2670.0,10.4,0.552,17.2,-2.2,-0.2
Ty Lawson,2015,75.0,2665.0,18.5,0.526,20.6,2.2,2.8
Goran Dragić,2015,78.0,2640.0,17.4,0.577,21.8,0.8,1.8
Goran Dragić,2015,52.0,1735.0,16.7,0.573,21.5,0.1,0.9
Goran Dragić,2015,26.0,905.0,18.8,0.586,22.2,2.1,0.9
Gordon Hayward,2015,76.0,2618.0,20.2,0.567,26.2,4.0,4.0
Stephen Curry,2015,80.0,2613.0,28.0,0.638,28.9,9.9,7.9
Kentavious Caldwell-Pope,2015,82.0,2587.0,11.2,0.501,19.5,-1.7,0.2
Markieff Morris,2015,82.0,2581.0,15.8,0.523,23.3,-0.3,1.1
Victor Oladipo,2015,72.0,2573.0,15.9,0.527,25.2,-0.4,1.1
Giannis Antetokounmpo,2015,81.0,2541.0,14.8,0.552,19.6,0.0,1.2
Kevin Love,2015,75.0,2532.0,18.8,0.562,21.7,2.7,3.0
Nikola Vučević,2015,74.0,2529.0,21.5,0.548,26.0,0.9,1.8
Jimmy Butler,2015,65.0,2513.0,21.3,0.583,21.6,4.6,4.2
LaMarcus Aldridge,2015,71.0,2512.0,22.8,0.528,30.2,2.9,3.1
Andre Drummond,2015,82.0,2502.0,21.4,0.504,22.0,-0.1,1.2
Arron Afflalo,2015,78.0,2502.0,10.7,0.533,19.0,-2.5,-0.3
Arron Afflalo,2015,53.0,1750.0,11.7,0.533,19.9,-1.9,0.1
Arron Afflalo,2015,25.0,752.0,8.2,0.533,16.7,-3.8,-0.4
LeBron James,2015,69.0,2493.0,25.9,0.577,32.3,7.1,5.7
Draymond Green,2015,79.0,2490.0,16.4,0.54,17.2,3.5,3.5
Elfrid Payton,2015,82.0,2489.0,13.8,0.456,18.3,-1.2,0.5
Wilson Chandler,2015,78.0,2471.0,13.2,0.523,20.1,-0.6,0.9
Klay Thompson,2015,77.0,2455.0,20.8,0.591,27.6,4.4,4.0
Anthony Davis,2015,68.0,2455.0,30.8,0.591,27.8,8.9,6.7
Jeff Green,2015,78.0,2454.0,14.4,0.534,21.9,-0.2,1.2
Jeff Green,2015,33.0,1093.0,14.6,0.539,23.8,-1.1,0.3
Jeff Green,2015,45.0,1361.0,14.2,0.53,20.5,0.6,0.9
Marcin Gortat,2015,82.0,2453.0,18.2,0.587,17.6,1.5,2.1
Thaddeus Young,2015,76.0,2434.0,15.7,0.507,21.5,-0.1,1.1
Thaddeus Young,2015,48.0,1605.0,15.0,0.491,21.2,-0.5,0.6
Thaddeus Young,2015,28.0,829.0,17.1,0.539,22.0,0.5,0.5
Avery Bradley,2015,77.0,2428.0,11.5,0.507,21.0,-2.2,-0.1
Luol Deng,2015,72.0,2421.0,15.5,0.561,19.5,0.0,1.2
Kyle Korver,2015,75.0,2418.0,14.8,0.699,14.4,2.8,3.0
Kyle Lowry,2015,70.0,2414.0,19.3,0.527,25.4,3.0,3.1
JJ Redick,2015,78.0,2409.0,16.2,0.622,21.0,1.3,2.0
Rudy Gay,2015,68.0,2408.0,19.7,0.556,27.0,2.7,2.9
Paul Millsap,2015,73.0,2390.0,20.0,0.565,23.8,3.4,3.3
P.J. Tucker,2015,78.0,2383.0,12.5,0.541,13.9,0.4,1.4
Solomon Hill,2015,82.0,2381.0,10.2,0.507,15.9,-1.5,0.3
Nicolas Batum,2015,71.0,2380.0,13.1,0.516,14.6,2.1,2.4
Khris Middleton,2015,79.0,2378.0,15.6,0.563,19.9,1.6,2.2
Tobias Harris,2015,68.0,2369.0,16.7,0.551,22.5,0.5,1.5
Mario Chalmers,2015,80.0,2368.0,11.7,0.521,18.9,-2.5,-0.3
Blake Griffin,2015,67.0,2356.0,22.8,0.551,28.4,4.0,3.6
Courtney Lee,2015,77.0,2354.0,11.5,0.555,15.2,-0.5,0.9
Harrison Barnes,2015,82.0,2318.0,13.4,0.573,14.9,0.1,1.2
Al Horford,2015,76.0,2318.0,21.4,0.563,22.2,4.1,3.6
Gerald Henderson,2015,80.0,2315.0,13.2,0.514,20.7,-1.4,0.4
Danny Green,2015,81.0,2312.0,16.5,0.596,17.5,4.6,3.8
Nerlens Noel,2015,75.0,2311.0,15.0,0.493,17.0,-0.3,1.0
Zach Randolph,2015,71.0,2304.0,19.5,0.538,24.3,1.3,1.9
Russell Westbrook,2015,67.0,2302.0,29.1,0.536,38.4,8.1,5.8
Josh Smith,2015,83.0,2300.0,14.9,0.467,24.8,0.7,1.6
Josh Smith,2015,28.0,896.0,14.3,0.417,25.3,1.5,0.8
Josh Smith,2015,55.0,1404.0,15.2,0.5,24.5,0.2,0.8
Trey Burke,2015,76.0,2288.0,12.6,0.455,23.9,-1.4,0.3
Tyson Chandler,2015,75.0,2286.0,20.1,0.697,12.8,2.6,2.7
Dirk Nowitzki,2015,77.0,2282.0,19.2,0.56,24.9,2.2,2.4
Derrick Favors,2015,74.0,2280.0,21.8,0.558,23.8,2.5,2.6
Matt Barnes,2015,76.0,2271.0,11.3,0.574,14.9,-0.3,1.0
Reggie Jackson,2015,77.0,2268.0,17.2,0.511,24.6,1.1,1.8
Reggie Jackson,2015,50.0,1398.0,15.6,0.511,22.1,0.7,0.9
Reggie Jackson,2015,27.0,870.0,19.8,0.511,28.6,1.9,0.9
Evan Turner,2015,82.0,2260.0,12.8,0.482,19.5,-1.0,0.6
Wesley Johnson,2015,76.0,2245.0,11.1,0.509,16.4,-1.9,0.1
Jarrett Jack,2015,80.0,2241.0,14.6,0.522,22.6,-1.1,0.5
Jeff Teague,2015,73.0,2228.0,20.6,0.566,25.3,2.9,2.8
Tim Duncan,2015,77.0,2227.0,22.6,0.56,22.2,5.1,4.0
Mike Conley,2015,70.0,2225.0,18.6,0.558,23.7,2.8,2.7
Dion Waiters,2015,80.0,2208.0,10.9,0.46,22.5,-3.3,-0.7
Dion Waiters,2015,33.0,786.0,12.2,0.468,24.0,-2.6,-0.1
Dion Waiters,2015,47.0,1422.0,10.1,0.455,21.7,-3.7,-0.6
Tristan Thompson,2015,82.0,2194.0,15.6,0.58,14.0,-1.2,0.4
Gorgui Dieng,2015,73.0,2193.0,17.2,0.573,15.0,0.2,1.2
DeMarre Carroll,2015,70.0,2189.0,15.9,0.603,16.9,1.7,2.0
Chandler Parsons,2015,66.0,2186.0,16.3,0.567,20.6,1.6,2.0
Rudy Gobert,2015,82.0,2158.0,21.6,0.627,14.0,4.2,3.4
Patrick Patterson,2015,81.0,2156.0,14.6,0.568,13.1,2.5,2.4
Michael Carter-Williams,2015,66.0,2149.0,14.1,0.461,26.7,-1.1,0.5
Michael Carter-Williams,2015,41.0,1391.0,12.8,0.444,27.1,-2.0,0.0
Michael Carter-Williams,2015,25.0,758.0,16.3,0.496,25.8,0.6,0.5
Greg Monroe,2015,69.0,2137.0,21.2,0.549,23.9,2.0,2.1
Enes Freedom,2015,75.0,2135.0,20.3,0.564,24.7,-0.9,0.6
Enes Freedom,2015,49.0,1326.0,17.5,0.535,25.1,-2.7,-0.2
Enes Freedom,2015,26.0,809.0,24.9,0.611,23.9,2.0,0.8
Kemba Walker,2015,62.0,2119.0,17.6,0.486,25.9,2.3,2.3
Serge Ibaka,2015,64.0,2116.0,16.6,0.549,18.9,0.9,1.6
Deron Williams,2015,68.0,2114.0,15.7,0.504,22.3,0.2,1.2
Bradley Beal,2015,63.0,2107.0,14.0,0.521,22.5,0.1,1.1
Brook Lopez,2015,72.0,2100.0,22.7,0.558,26.3,1.2,1.6
DeMar DeRozan,2015,60.0,2100.0,17.4,0.51,28.4,-0.9,0.6
Jonas Valančiūnas,2015,80.0,2096.0,20.6,0.623,19.1,0.5,1.3
Terrence Ross,2015,82.0,2092.0,11.2,0.519,18.3,-1.4,0.3
Corey Brewer,2015,80.0,2087.0,13.9,0.507,21.6,-1.0,0.5
